KODE_PEMDA,NAMA_PEMDA,NAMA_PROVINSI,NAMA_PULAU,JUMLAH_BELANJA_PEGAWAI,JUMLAH_PENDUDUK,LUAS_DARATAN,LUAS_LAUTAN,LUAS_WILAYAH,IKK,IPM,PDRB_PER_KAPITA,PAD,DBH_PAJAK,DBH_SDA,ALOKASI_DAU,ALOKASI_DAU_APBNP,APBD_PENDAPATAN,APBD_BELANJA,APBD_PEMBIAYAAN,TKDD_TOTAL,TKDD_DBH,TKDD_DAU,TKDD_DAKFISIK,TKDD_DAKNONFISIK,TKDD_DID,TKDD_OTSUS,TKDD_DAIS,TKDD_DANADESA
2_22,Kab. Nias Selatan,Provinsi Sumatera Utara,Sumatera,225180460122,365346,"1825,2","5035,51","6860,71","114,34","60,75","16141687,43",19605734782,11581508325,4018504137,605803493000,548804654000,1502582297850,1502582297850,7000000000,921872072000,351138751000,617556640000,164647261000,125578178000,,,,351138751000
2_23,Kab. Humbang Hasundutan,Provinsi Sumatera Utara,Sumatera,256089039048,200381,"2335,33",0,"2335,33","99,74","67,96","27239617,11",92735853813,11538878604,3699528237,539572308000,488805029000,1017406292290,1017406292290,54694434965,701833270000,124934505000,481828482000,64439223000,92554503000,49112901000,,,124934505000
2_24,Kab. Serdang Bedagai,Provinsi Sumatera Utara,Sumatera,375189806242,658550,"1900,22","613,83","2514,05","99,21","69,69","31590309,48",194382972213,39989314861,3694879965,797088981000,722092473000,1674842938494,1674842938494,76865674528,1069612908000,185739448000,718135179000,119529231000,159720966000,36478058000,,,185739448000
2_25,Kab. Samosir,Provinsi Sumatera Utara,Sumatera,185636693840,139575,"2069,05",0,"2069,05","105,8","69,99","28475355,43",47446623389,10653795549,3688724037,465646967000,417833094000,876723343252,876723343252,26000000000,639684227000,107929748000,414127985000,84574123000,71372153000,55859573000,,,107929748000
2_26,Kab. Batu Bara,Provinsi Sumatera Utara,Sumatera,260840749774,369212,"922,2","755,21","1677,41","97,63","67,67","46375706,64",64385292862,27100703654,3694879965,625193759000,559938068000,1276573108058,1276573108058,98798459340,747203401000,121071737000,555512477000,50499768000,106394184000,10193399000,,,121071737000
2_27,Kab. Padang Lawas,Provinsi Sumatera Utara,Sumatera,210047542938,260955,"3892,74",0,"3892,74","103,4","67,59","33618175,27",47455308607,22631226502,4321042897,546815429000,484526993000,1089721578253,1089721578253,34940201878,682789438000,230275200000,490264639000,52652904000,93756725000,24336141000,,,230275200000
2_28,Kab. Padang Lawas Utara,Provinsi Sumatera Utara,Sumatera,232850861946,267411,"3918,05",0,"3918,05","104,42","68,77","32274907,43",74306097500,21006522429,3823263134,561245705000,497313498000,1156048826522,1156048826522,65872556429,702210568000,289345427000,513912559000,72417569000,96135120000,,,,289345427000
2_29,Kab. Labuhanbatu Selatan,Provinsi Sumatera Utara,Sumatera,174839075498,322030,3596,0,3596,"107,71","70,98","43737300,3",52209768574,57043301599,4049372937,528808123000,479053624000,933199032621,933199032621,46239900000,687063437000,67788110000,472756479000,92295765000,72931212000,,,,67788110000
2_30,Kab. Labuhanbatu Utara,Provinsi Sumatera Utara,Sumatera,249522795480,392520,"3570,98","134,04","3705,02","102,17","71,08",40397648,57010690546,35147628245,5769808457,615342393000,557446058000,1035186961086,1035186961086,128926085334,774958152000,86022841000,552460153000,79462112000,106871956000,7369788000,,,86022841000
2_31,Kab. Nias Utara,Provinsi Sumatera Utara,Sumatera,132307698022,150947,"1202,78","1629,09","2831,87","111,02","61,08","20424846,9",50395504636,9602903718,3694879965,432518212000,391823438000,919183436143,919183436143,53324229754,543007977000,136386189000,388378010000,77369938000,64947612000,,,,136386189000
