NAMA_DAERAH,NAMA_PROVINSI,PULAU
Kota Pasuruan,Provinsi Jawa Timur,Jawa
Kota Probolinggo,Provinsi Jawa Timur,Jawa
Kota Surabaya,Provinsi Jawa Timur,Jawa
Kota Batu,Provinsi Jawa Timur,Jawa
Kab. Bengkayang,Provinsi Kalimantan Barat,Kalimantan
Kab. Landak,Provinsi Kalimantan Barat,Kalimantan
Kab. Kapuas Hulu,Provinsi Kalimantan Barat,Kalimantan
Kab. Ketapang,Provinsi Kalimantan Barat,Kalimantan
Kab. Mempawah,Provinsi Kalimantan Barat,Kalimantan
Kab. Sambas,Provinsi Kalimantan Barat,Kalimantan
Kab. Sanggau,Provinsi Kalimantan Barat,Kalimantan
Kab. Sintang,Provinsi Kalimantan Barat,Kalimantan
Kota Pontianak,Provinsi Kalimantan Barat,Kalimantan
Kota Singkawang,Provinsi Kalimantan Barat,Kalimantan
Kab. Sekadau,Provinsi Kalimantan Barat,Kalimantan
Kab. Melawi,Provinsi Kalimantan Barat,Kalimantan
Kab. Kayong Utara,Provinsi Kalimantan Barat,Kalimantan
Kab. Kubu Raya,Provinsi Kalimantan Barat,Kalimantan
Kab. Barito Selatan,Provinsi Kalimantan Tengah,Kalimantan
Kab. Barito Utara,Provinsi Kalimantan Tengah,Kalimantan
Kab. Kapuas,Provinsi Kalimantan Tengah,Kalimantan
Kab. Kotawaringin Barat,Provinsi Kalimantan Tengah,Kalimantan
Kab. Kotawaringin Timur,Provinsi Kalimantan Tengah,Kalimantan
Kota Palangkaraya,Provinsi Kalimantan Tengah,Kalimantan
Kab. Katingan,Provinsi Kalimantan Tengah,Kalimantan
Kab. Seruyan,Provinsi Kalimantan Tengah,Kalimantan
Kab. Sukamara,Provinsi Kalimantan Tengah,Kalimantan
Kab. Lamandau,Provinsi Kalimantan Tengah,Kalimantan
Kab. Gunung Mas,Provinsi Kalimantan Tengah,Kalimantan
Kab. Pulang Pisau,Provinsi Kalimantan Tengah,Kalimantan
Kab. Murung Raya,Provinsi Kalimantan Tengah,Kalimantan
Kab. Barito Timur,Provinsi Kalimantan Tengah,Kalimantan
Kab. Banjar,Provinsi Kalimantan Selatan,Kalimantan
Kab. Barito Kuala,Provinsi Kalimantan Selatan,Kalimantan
Kab. Hulu Sungai Selatan,Provinsi Kalimantan Selatan,Kalimantan
Kab. Hulu Sungai Tengah,Provinsi Kalimantan Selatan,Kalimantan
Kab. Hulu Sungai Utara,Provinsi Kalimantan Selatan,Kalimantan
Kab. Kotabaru,Provinsi Kalimantan Selatan,Kalimantan
Kab. Tabalong,Provinsi Kalimantan Selatan,Kalimantan
Kab. Tanah Laut,Provinsi Kalimantan Selatan,Kalimantan
Kab. Tapin,Provinsi Kalimantan Selatan,Kalimantan
Kota Banjarbaru,Provinsi Kalimantan Selatan,Kalimantan
Kota Banjarmasin,Provinsi Kalimantan Selatan,Kalimantan
Kab. Balangan,Provinsi Kalimantan Selatan,Kalimantan
Kab. Tanah Bumbu,Provinsi Kalimantan Selatan,Kalimantan
Kab. Berau,Provinsi Kalimantan Timur,Kalimantan
Kab. Kutai Kartanegara,Provinsi Kalimantan Timur,Kalimantan
Kab. Kutai Barat,Provinsi Kalimantan Timur,Kalimantan
Kab. Kutai Timur,Provinsi Kalimantan Timur,Kalimantan
Kab. Paser,Provinsi Kalimantan Timur,Kalimantan
Kota Balikpapan,Provinsi Kalimantan Timur,Kalimantan
Kota Bontang,Provinsi Kalimantan Timur,Kalimantan
Kota Samarinda,Provinsi Kalimantan Timur,Kalimantan
Kab. Penajam Paser Utara,Provinsi Kalimantan Timur,Kalimantan
Kab. Mahakam Ulu,Provinsi Kalimantan Timur,Kalimantan
Kab. Bolaang Mongondow,Provinsi Sulawesi Utara,Sulawesi
Kab. Minahasa,Provinsi Sulawesi Utara,Sulawesi
Kab. Sangihe,Provinsi Sulawesi Utara,Sulawesi
Kota Bitung,Provinsi Sulawesi Utara,Sulawesi
Kota Manado,Provinsi Sulawesi Utara,Sulawesi
Kab. Kepulauan Talaud,Provinsi Sulawesi Utara,Sulawesi
Kab. Minahasa Selatan,Provinsi Sulawesi Utara,Sulawesi
Kota Tomohon,Provinsi Sulawesi Utara,Sulawesi
Kab. Minahasa Utara,Provinsi Sulawesi Utara,Sulawesi
Kab. Kep. Siau Tagulandang Biaro,Provinsi Sulawesi Utara,Sulawesi
Kota Kotamobagu,Provinsi Sulawesi Utara,Sulawesi
Kab. Bolaang Mongondow Utara,Provinsi Sulawesi Utara,Sulawesi
Kab. Minahasa Tenggara,Provinsi Sulawesi Utara,Sulawesi
Kab. Bolaang Mongondow Timur,Provinsi Sulawesi Utara,Sulawesi
Kab. Bolaang Mongondow Selatan,Provinsi Sulawesi Utara,Sulawesi
Kab. Banggai,Provinsi Sulawesi Tengah,Sulawesi
Kab. Banggai Kepulauan,Provinsi Sulawesi Tengah,Sulawesi
Kab. Buol,Provinsi Sulawesi Tengah,Sulawesi
Kab. Toli-Toli,Provinsi Sulawesi Tengah,Sulawesi
Kab. Donggala,Provinsi Sulawesi Tengah,Sulawesi
Kab. Morowali,Provinsi Sulawesi Tengah,Sulawesi
Kab. Poso,Provinsi Sulawesi Tengah,Sulawesi
Kota Palu,Provinsi Sulawesi Tengah,Sulawesi
Kab. Parigi Moutong,Provinsi Sulawesi Tengah,Sulawesi
Kab. Tojo Una Una,Provinsi Sulawesi Tengah,Sulawesi
Kab. Sigi,Provinsi Sulawesi Tengah,Sulawesi
Kab. Banggai Laut,Provinsi Sulawesi Tengah,Sulawesi
Kab. Morowali Utara,Provinsi Sulawesi Tengah,Sulawesi
